Word,PoS,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,AvrgOfYears,Level.Predicted.RF,Level.Predicted.NN,Level.Predicted.SVM
abandon,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abandon,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abandon,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandon,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandon,NOUN,8.04E-07,7.86E-07,8.29E-07,8.13E-07,8.25E-07,8.32E-07,7.80E-07,8.07E-07,8.26E-07,8.11E-07,A1,B2,Unknown
abandon,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandon,VERB,1.01E-05,9.92E-06,9.76E-06,9.68E-06,9.87E-06,9.54E-06,1.00E-05,1.01E-05,1.09E-05,9.99E-06,B2,B1,B2
abandoned,ADJ,1.38E-06,1.43E-06,1.42E-06,1.43E-06,1.42E-06,1.44E-06,1.47E-06,1.44E-06,1.38E-06,1.42E-06,B1,B2,B2
abandoned,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abandoned,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abandoned,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandoned,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandoned,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abandoned,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abandoned,VERB,2.21E-05,2.16E-05,2.11E-05,2.06E-05,2.10E-05,2.06E-05,2.14E-05,2.12E-05,2.21E-05,2.13E-05,B1,B1,A1
ability,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
ability,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
ability,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
ability,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
ability,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
ability,NOUN,0.00010513,0.000104974,0.000105236,0.000103672,0.000102457,0.000105735,0.000103934,0.000100081,8.47E-05,0.000101769,B1,B1,A2
ability,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
ability,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
able,ADJ,0.000201494,0.000200738,0.000205988,0.000207643,0.000206057,0.000208302,0.000207947,0.000207355,0.000204842,0.000205596,A1,A2,A1
able,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
able,ADV,8.94E-11,1.76E-10,1.60E-10,3.67E-10,1.36E-10,1.39E-10,1.96E-10,0,1.03E-10,1.52E-10,C2,B1,C1
able,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
able,DET,8.94E-11,1.76E-10,7.99E-11,7.34E-11,4.08E-10,6.93E-11,3.92E-10,2.47E-10,8.21E-10,2.62E-10,A1,A2,A2
able,NOUN,3.57E-09,1.94E-09,1.12E-09,1.47E-09,2.52E-09,1.46E-09,3.53E-09,1.97E-09,4.36E-09,2.44E-09,A1,Unknown,Unknown
able,PRON,8.94E-11,0,0,0,6.80E-11,0,0,0,1.54E-10,3.46E-11,A2,A2,A2
able,VERB,3.57E-10,8.81E-10,4.79E-10,7.34E-10,6.80E-10,3.47E-10,1.31E-09,8.02E-10,7.70E-10,7.06E-10,A1,B2,C1
abnormal,ADJ,1.22E-05,1.23E-05,1.24E-05,1.20E-05,1.25E-05,1.25E-05,1.25E-05,1.08E-05,9.36E-06,1.18E-05,B2,B1,B1
abnormal,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abnormal,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abnormal,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abnormal,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abnormal,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abnormal,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abnormal,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
aboard,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
aboard,ADP,7.60E-06,7.71E-06,8.22E-06,8.24E-06,8.66E-06,8.05E-06,7.13E-06,7.67E-06,7.99E-06,7.92E-06,B1,A2,A2
aboard,ADV,7.94E-07,7.37E-07,8.53E-07,8.79E-07,9.03E-07,8.76E-07,7.72E-07,8.43E-07,9.90E-07,8.50E-07,A2,B1,B2
aboard,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
aboard,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
aboard,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
aboard,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
aboard,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abolish,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
abolish,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abolish,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abolish,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abolish,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abolish,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abolish,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abolish,VERB,2.67E-06,2.52E-06,2.55E-06,2.54E-06,2.39E-06,2.38E-06,2.53E-06,2.50E-06,2.87E-06,2.55E-06,B2,B2,B2
abortion,ADJ,4.34E-07,4.07E-07,4.13E-07,3.82E-07,4.15E-07,3.64E-07,3.80E-07,3.37E-07,2.70E-07,3.78E-07,A1,B2,B2
abortion,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abortion,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abortion,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abortion,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abortion,NOUN,1.18E-05,1.14E-05,1.20E-05,1.10E-05,1.04E-05,1.02E-05,1.02E-05,9.51E-06,7.56E-06,1.04E-05,C1,B2,B1
abortion,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abortion,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
about,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
about,ADP,0.001252243,0.001253989,0.001285287,0.001278855,0.001282182,0.001300985,0.001271122,0.001282217,0.001240943,0.00127198,A1,A1,B2
about,ADV,1.31E-05,1.33E-05,1.30E-05,1.28E-05,1.26E-05,1.26E-05,1.24E-05,1.18E-05,1.05E-05,1.25E-05,B2,B1,B1
about,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
about,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
about,NOUN,4.11E-07,4.08E-07,4.22E-07,4.14E-07,4.39E-07,4.22E-07,3.91E-07,4.13E-07,3.50E-07,4.08E-07,A1,B2,Unknown
about,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
about,VERB,9.47E-09,9.25E-09,9.35E-09,9.39E-09,9.93E-09,1.25E-08,8.62E-09,9.63E-09,7.96E-09,9.56E-09,A1,B2,B2
above,ADJ,6.01E-05,5.91E-05,5.73E-05,5.77E-05,5.60E-05,5.74E-05,5.74E-05,5.52E-05,5.57E-05,5.73E-05,A2,B1,A2
above,ADP,0.000137543,0.00013606,0.000133501,0.000136296,0.000137536,0.000134474,0.000135453,0.000140664,0.000153547,0.000138342,A1,B1,A2
above,ADV,2.66E-05,2.57E-05,2.54E-05,2.51E-05,2.44E-05,2.52E-05,2.49E-05,2.42E-05,2.21E-05,2.48E-05,B1,B1,B1
above,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
above,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
above,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
above,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
above,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abroad,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
abroad,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abroad,ADV,1.97E-05,1.96E-05,1.93E-05,1.91E-05,1.96E-05,1.95E-05,2.07E-05,2.14E-05,2.45E-05,2.04E-05,A2,B1,B1
abroad,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abroad,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abroad,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abroad,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abroad,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abrupt,ADJ,4.69E-06,4.68E-06,4.58E-06,4.52E-06,4.67E-06,4.59E-06,4.56E-06,4.75E-06,5.05E-06,4.68E-06,B1,B1,B2
abrupt,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abrupt,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abrupt,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abrupt,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abrupt,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abrupt,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abrupt,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abruptly,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
abruptly,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abruptly,ADV,7.13E-06,6.92E-06,7.00E-06,6.96E-06,7.41E-06,7.29E-06,6.99E-06,7.74E-06,9.18E-06,7.40E-06,A2,B1,A2
abruptly,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abruptly,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abruptly,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abruptly,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abruptly,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
absence,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
absence,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absence,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
absence,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absence,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absence,NOUN,5.33E-05,5.22E-05,5.10E-05,4.96E-05,5.02E-05,5.01E-05,5.11E-05,5.01E-05,4.91E-05,5.07E-05,B1,B1,A2
absence,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absence,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
absent,ADJ,1.73E-05,1.71E-05,1.66E-05,1.62E-05,1.71E-05,1.64E-05,1.70E-05,1.71E-05,1.78E-05,1.70E-05,B2,B1,B1
absent,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absent,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
absent,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absent,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absent,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
absent,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absent,VERB,1.03E-06,1.11E-06,1.04E-06,1.02E-06,1.04E-06,1.02E-06,1.05E-06,1.06E-06,1.09E-06,1.05E-06,B2,B2,B2
absolute,ADJ,3.66E-05,3.65E-05,3.57E-05,3.65E-05,3.57E-05,3.52E-05,3.65E-05,3.63E-05,3.80E-05,3.63E-05,A1,B1,B1
absolute,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absolute,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
absolute,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolute,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolute,NOUN,5.06E-07,4.76E-07,5.26E-07,5.00E-07,5.09E-07,5.91E-07,5.07E-07,4.82E-07,4.90E-07,5.10E-07,A1,B2,Unknown
absolute,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolute,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
absolutely,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
absolutely,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absolutely,ADV,2.28E-05,2.29E-05,2.27E-05,2.46E-05,2.50E-05,2.41E-05,2.60E-05,2.70E-05,3.38E-05,2.54E-05,A2,B1,B1
absolutely,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolutely,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolutely,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
absolutely,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absolutely,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
absorb,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
absorb,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absorb,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
absorb,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absorb,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absorb,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
absorb,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absorb,VERB,7.50E-06,7.36E-06,7.28E-06,7.13E-06,6.91E-06,6.95E-06,6.79E-06,6.84E-06,6.16E-06,6.99E-06,B2,B1,B1
abstract,ADJ,2.58E-05,2.47E-05,2.63E-05,2.47E-05,2.38E-05,2.38E-05,2.38E-05,2.27E-05,2.10E-05,2.40E-05,B1,B1,B1
abstract,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abstract,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abstract,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abstract,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abstract,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abstract,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abstract,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
absurd,ADJ,6.87E-06,6.66E-06,6.37E-06,7.05E-06,7.62E-06,7.01E-06,7.86E-06,8.68E-06,1.20E-05,7.79E-06,A2,B1,B2
absurd,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
absurd,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
absurd,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absurd,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absurd,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
absurd,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
absurd,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abuse,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
abuse,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abuse,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abuse,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abuse,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abuse,NOUN,3.80E-05,3.93E-05,3.62E-05,3.48E-05,3.51E-05,3.55E-05,3.42E-05,3.28E-05,2.62E-05,3.47E-05,B1,B1,A2
abuse,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abuse,VERB,3.36E-06,3.33E-06,3.21E-06,3.29E-06,3.40E-06,3.33E-06,3.38E-06,3.36E-06,3.48E-06,3.35E-06,B2,B2,B2
abusive,ADJ,4.89E-06,4.77E-06,4.49E-06,4.50E-06,4.61E-06,4.55E-06,4.58E-06,4.38E-06,3.47E-06,4.47E-06,B2,B2,B2
abusive,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
abusive,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
abusive,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
abusive,DET,4.47E-10,8.81E-11,3.19E-10,2.20E-10,1.36E-10,6.93E-11,0,6.17E-11,1.03E-10,1.60E-10,A1,A2,A2
abusive,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
abusive,PRON,7.15E-10,5.29E-10,1.20E-09,8.07E-10,6.12E-10,7.63E-10,3.92E-10,3.70E-10,8.21E-10,6.90E-10,A1,A2,A2
abusive,VERB,9.56E-09,8.19E-09,7.91E-09,6.24E-09,8.77E-09,6.93E-09,6.27E-09,6.23E-09,7.03E-09,7.46E-09,A1,B2,B2
academic,ADJ,4.35E-05,4.20E-05,4.23E-05,4.15E-05,4.27E-05,4.43E-05,4.36E-05,4.20E-05,3.27E-05,4.16E-05,B1,B1,A1
academic,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
academic,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
academic,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
academic,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
academic,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
academic,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
academic,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
accelerate,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
accelerate,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
accelerate,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accelerate,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accelerate,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accelerate,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
accelerate,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accelerate,VERB,3.74E-06,3.94E-06,3.83E-06,3.77E-06,3.66E-06,3.65E-06,3.66E-06,3.47E-06,2.88E-06,3.62E-06,B2,B2,B2
accent,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
accent,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
accent,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accent,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accent,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accent,NOUN,7.04E-06,7.44E-06,7.02E-06,7.34E-06,7.55E-06,7.77E-06,7.63E-06,8.02E-06,8.01E-06,7.54E-06,B1,B1,B2
accent,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accent,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
accept,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
accept,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
accept,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accept,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accept,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accept,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
accept,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accept,VERB,6.08E-05,6.05E-05,6.02E-05,5.98E-05,5.82E-05,5.84E-05,5.75E-05,5.68E-05,5.47E-05,5.85E-05,A2,B1,A1
accepted,ADJ,2.03E-06,1.99E-06,1.95E-06,1.91E-06,1.89E-06,1.90E-06,1.88E-06,1.89E-06,1.70E-06,1.90E-06,B1,B2,B2
accepted,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
accepted,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accepted,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accepted,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accepted,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
accepted,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accepted,VERB,6.13E-05,6.06E-05,6.00E-05,6.22E-05,5.80E-05,5.85E-05,5.80E-05,5.66E-05,5.41E-05,5.88E-05,A2,B1,A1
acceptable,ADJ,2.74E-05,2.72E-05,2.67E-05,2.62E-05,2.54E-05,2.56E-05,2.50E-05,2.32E-05,1.96E-05,2.51E-05,B1,B1,B1
acceptable,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
acceptable,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
acceptable,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptable,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptable,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
acceptable,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptable,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
acceptance,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
acceptance,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
acceptance,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
acceptance,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptance,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptance,NOUN,2.82E-05,2.85E-05,2.75E-05,2.72E-05,2.59E-05,2.65E-05,2.66E-05,2.58E-05,2.26E-05,2.65E-05,B1,B1,A2
acceptance,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
acceptance,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
access,ADJ,1.68E-06,1.74E-06,1.97E-06,2.02E-06,1.54E-06,1.54E-06,1.28E-06,1.37E-06,1.09E-06,1.58E-06,B1,B2,B2
access,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
access,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
access,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
access,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
access,NOUN,0.000106604,0.00011074,0.000120415,0.000120003,0.000103752,0.000105726,0.00010189,9.59E-05,7.76E-05,0.000104741,B1,A2,A2
access,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
access,VERB,9.77E-06,1.14E-05,1.34E-05,1.34E-05,1.06E-05,1.02E-05,9.73E-06,1.00E-05,7.98E-06,1.07E-05,B2,B1,B2
accessible,ADJ,1.71E-05,1.77E-05,1.83E-05,1.82E-05,1.70E-05,1.71E-05,1.71E-05,1.67E-05,1.77E-05,1.74E-05,B2,B1,B1
accessible,ADP,0,0,0,0,0,0,0,0,0,0,Unknown,A1,Unknown
accessible,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accessible,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accessible,DET,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accessible,NOUN,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown
accessible,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accessible,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
accessory,ADJ,2.82E-06,2.65E-06,2.69E-06,2.75E-06,2.58E-06,2.63E-06,2.59E-06,2.39E-06,2.34E-06,2.61E-06,B2,B2,B2
accessory,ADP,6.43E-09,4.32E-09,5.19E-09,3.81E-09,6.53E-09,7.14E-09,5.55E-09,4.87E-09,4.67E-09,5.39E-09,A1,A1,Unknown
accessory,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
accessory,CONJ,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
accessory,DET,8.94E-11,0,7.99E-11,1.47E-10,2.04E-10,6.93E-11,0,1.23E-10,5.13E-11,8.49E-11,A1,A2,A2
accessory,NOUN,1.65E-07,1.59E-07,1.71E-07,1.67E-07,1.68E-07,1.78E-07,1.68E-07,1.66E-07,1.62E-07,1.67E-07,A1,Unknown,Unknown
accessory,PRON,4.65E-09,3.52E-09,3.99E-09,2.93E-09,2.31E-09,3.40E-09,2.87E-09,2.16E-09,2.00E-09,3.09E-09,A1,A2,A1
accessory,VERB,8.31E-09,5.46E-09,4.87E-09,6.53E-09,8.50E-09,7.00E-09,5.29E-09,5.99E-09,5.44E-09,6.38E-09,A1,B2,B2
